ID,Customer Name,Sales Person (Sales Team),Coordinators,Customer Group,Zone,Total_Target,Total_Achievement,N_brands_active,Overall_Achievement_pct,is_zero_achiever
ETLCUST-01212,JOYTI ELECTRONICS - B. MUKARRAM,Noor Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,1200000.0,369300.0,1,0.30775,False
ETLCUST-00953,RUMI ELECTRONICS - GULISTAN,Noor Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,3500000.0,664800.0,1,0.18994285714285714,False
ETLCUST-00946,NEW SONY ELECTRONICS - GULISTAN,Noor Hossain,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,1500000.0,650500.0,1,0.43366666666666664,False
ETLCUST-00474,SONY ELECTRONICS - GULISTAN,Md Kamrul Hasan Sabuz,Mr. Md. Kamrul Hasan ,CG - GULISTAN,Gulistan,2500000.0,433550.0,1,0.17342,False
ETLCUST-03226,SHINE TECH - B. MUKARRAM,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,500000.0,2004100.0,5,4.0082,False
ETLCUST-04660,AI TECHNOLOGY - B. MUKARRAM,Zakir Hossain,Mr. Md. Kamrul Hasan ,CG - MOTIJHEEL,Motijheel,3787200.0,6932155.0,6,1.830416930713984,False
ETLCUST-01427,BISWAS ENTERPRISE - UTTARA,Md. Rahad,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,2700000.0,1971420.0,5,0.7301555555555556,False
ETLCUST-01428,BETAR SERVICE - GAZIPUR,MD. Shipon Ali,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,14600000.0,4733025.0,4,0.32417979452054796,False
ETLCUST-00354,VITAL COMPUTERS - MOHAKHALI,Jiku Saha,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,2663000.0,957400.0,12,0.35951933909125044,False
ETLCUST-00105,CASH CUSTOMER - UTTARA,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,51960.0,1279175.0,17,24.61845650500385,False
ETLCUST-00129,IT CORNER - SYED GRAND,Dulal Sarker,Mr. Ajit Kumar Dey ,CG - UTTARA,Uttara,325000.0,13400.0,4,0.04123076923076923,False
